country,total_litres_of_pure_alcohol,drink_type,servings
Czech Republic,11.8,wine_servings,134
North Korea,0,beer_servings,0
North Korea,0,spirit_servings,0
North Korea,0,wine_servings,0
DR Congo,2.3,beer_servings,32
DR Congo,2.3,spirit_servings,3
DR Congo,2.3,wine_servings,1
Denmark,10.4,beer_servings,224
Denmark,10.4,spirit_servings,81
Denmark,10.4,wine_servings,278
Djibouti,1.1,beer_servings,15
Djibouti,1.1,spirit_servings,44
Djibouti,1.1,wine_servings,3
Dominica,6.6,beer_servings,52
Dominica,6.6,spirit_servings,286
Dominica,6.6,wine_servings,26
Dominican Republic,6.2,beer_servings,193
Dominican Republic,6.2,spirit_servings,147
Dominican Republic,6.2,wine_servings,9
Ecuador,4.2,beer_servings,162
Ecuador,4.2,spirit_servings,74
Ecuador,4.2,wine_servings,3
Egypt,0.2,beer_servings,6
Egypt,0.2,spirit_servings,4
Egypt,0.2,wine_servings,1
El Salvador,2.2,beer_servings,52
El Salvador,2.2,spirit_servings,69
El Salvador,2.2,wine_servings,2
Equatorial Guinea,5.8,beer_servings,92
Equatorial Guinea,5.8,spirit_servings,0
Equatorial Guinea,5.8,wine_servings,233
Eritrea,0.5,beer_servings,18
Eritrea,0.5,spirit_servings,0
Eritrea,0.5,wine_servings,0
Estonia,9.5,beer_servings,224
Estonia,9.5,spirit_servings,194
Estonia,9.5,wine_servings,59
Ethiopia,0.7,beer_servings,20
Ethiopia,0.7,spirit_servings,3
Ethiopia,0.7,wine_servings,0
Fiji,2,beer_servings,77
Fiji,2,spirit_servings,35
Fiji,2,wine_servings,1
Finland,10,beer_servings,263
Finland,10,spirit_servings,133
Finland,10,wine_servings,97
France,11.8,beer_servings,127
France,11.8,spirit_servings,151
France,11.8,wine_servings,370
Gabon,8.9,beer_servings,347
Gabon,8.9,spirit_servings,98
Gabon,8.9,wine_servings,59
Gambia,2.4,beer_servings,8
Gambia,2.4,spirit_servings,0
Gambia,2.4,wine_servings,1
Georgia,5.4,beer_servings,52
Georgia,5.4,spirit_servings,100
Georgia,5.4,wine_servings,149
Germany,11.3,beer_servings,346
Germany,11.3,spirit_servings,117
Germany,11.3,wine_servings,175
Ghana,1.8,beer_servings,31
Ghana,1.8,spirit_servings,3
Ghana,1.8,wine_servings,10
Greece,8.3,beer_servings,133
Greece,8.3,spirit_servings,112
Greece,8.3,wine_servings,218
Grenada,11.9,beer_servings,199
Grenada,11.9,spirit_servings,438
Grenada,11.9,wine_servings,28
Guatemala,2.2,beer_servings,53
Guatemala,2.2,spirit_servings,69
Guatemala,2.2,wine_servings,2
Guinea,0.2,beer_servings,9
Guinea,0.2,spirit_servings,0
Guinea,0.2,wine_servings,2
Guinea-Bissau,2.5,beer_servings,28
Guinea-Bissau,2.5,spirit_servings,31
Guinea-Bissau,2.5,wine_servings,21
Guyana,7.1,beer_servings,93
Guyana,7.1,spirit_servings,302
Guyana,7.1,wine_servings,1
Haiti,5.9,beer_servings,1
Haiti,5.9,spirit_servings,326
Haiti,5.9,wine_servings,1
Honduras,3,beer_servings,69
Honduras,3,spirit_servings,98
Honduras,3,wine_servings,2
Hungary,11.3,beer_servings,234
Hungary,11.3,spirit_servings,215
Hungary,11.3,wine_servings,185
Iceland,6.6,beer_servings,233
Iceland,6.6,spirit_servings,61
Iceland,6.6,wine_servings,78
India,2.2,beer_servings,9
India,2.2,spirit_servings,114
India,2.2,wine_servings,0
Indonesia,0.1,beer_servings,5
Indonesia,0.1,spirit_servings,1
Indonesia,0.1,wine_servings,0
Iran,0,beer_servings,0
Iran,0,spirit_servings,0
Iran,0,wine_servings,0
Iraq,0.2,beer_servings,9
Iraq,0.2,spirit_servings,3
Iraq,0.2,wine_servings,0
Ireland,11.4,beer_servings,313
Ireland,11.4,spirit_servings,118
Ireland,11.4,wine_servings,165
Israel,2.5,beer_servings,63
Israel,2.5,spirit_servings,69
Israel,2.5,wine_servings,9
Italy,6.5,beer_servings,85
Italy,6.5,spirit_servings,42
Italy,6.5,wine_servings,237
Jamaica,3.4,beer_servings,82
Jamaica,3.4,spirit_servings,97
Jamaica,3.4,wine_servings,9
Japan,7,beer_servings,77
Japan,7,spirit_servings,202
Japan,7,wine_servings,16
Jordan,0.5,beer_servings,6
Jordan,0.5,spirit_servings,21
Jordan,0.5,wine_servings,1
Kazakhstan,6.8,beer_servings,124
Kazakhstan,6.8,spirit_servings,246
Kazakhstan,6.8,wine_servings,12
Kenya,1.8,beer_servings,58
Kenya,1.8,spirit_servings,22
Kenya,1.8,wine_servings,2
Kiribati,1,beer_servings,21
Kiribati,1,spirit_servings,34
Kiribati,1,wine_servings,1
Kuwait,0,beer_servings,0
Kuwait,0,spirit_servings,0
Kuwait,0,wine_servings,0
Kyrgyzstan,2.4,beer_servings,31
Kyrgyzstan,2.4,spirit_servings,97
Kyrgyzstan,2.4,wine_servings,6
Laos,6.2,beer_servings,62
Laos,6.2,spirit_servings,0
Laos,6.2,wine_servings,123
Latvia,10.5,beer_servings,281
Latvia,10.5,spirit_servings,216
Latvia,10.5,wine_servings,62
Lebanon,1.9,beer_servings,20
Lebanon,1.9,spirit_servings,55
Lebanon,1.9,wine_servings,31
Lesotho,2.8,beer_servings,82
Lesotho,2.8,spirit_servings,29
Lesotho,2.8,wine_servings,0
Liberia,3.1,beer_servings,19
Liberia,3.1,spirit_servings,152
Liberia,3.1,wine_servings,2
Libya,0,beer_servings,0
Libya,0,spirit_servings,0
Libya,0,wine_servings,0
Lithuania,12.9,beer_servings,343
Lithuania,12.9,spirit_servings,244
Lithuania,12.9,wine_servings,56
Luxembourg,11.4,beer_servings,236
Luxembourg,11.4,spirit_servings,133
Luxembourg,11.4,wine_servings,271
Madagascar,0.8,beer_servings,26
Madagascar,0.8,spirit_servings,15
Madagascar,0.8,wine_servings,4
Malawi,1.5,beer_servings,8
Malawi,1.5,spirit_servings,11
Malawi,1.5,wine_servings,1
Malaysia,0.3,beer_servings,13
Malaysia,0.3,spirit_servings,4
Malaysia,0.3,wine_servings,0
Maldives,0,beer_servings,0
Maldives,0,spirit_servings,0
Maldives,0,wine_servings,0
Mali,0.6,beer_servings,5
Mali,0.6,spirit_servings,1
Mali,0.6,wine_servings,1
Malta,6.6,beer_servings,149
Malta,6.6,spirit_servings,100
Malta,6.6,wine_servings,120
Marshall Islands,0,beer_servings,0
Marshall Islands,0,spirit_servings,0
Marshall Islands,0,wine_servings,0
Mauritania,0,beer_servings,0
Mauritania,0,spirit_servings,0
Mauritania,0,wine_servings,0
Mauritius,2.6,beer_servings,98
Mauritius,2.6,spirit_servings,31
Mauritius,2.6,wine_servings,18
Mexico,5.5,beer_servings,238
Mexico,5.5,spirit_servings,68
Mexico,5.5,wine_servings,5
Micronesia,2.3,beer_servings,62
Micronesia,2.3,spirit_servings,50
Micronesia,2.3,wine_servings,18
Monaco,0,beer_servings,0
Monaco,0,spirit_servings,0
Monaco,0,wine_servings,0
Mongolia,4.9,beer_servings,77
Mongolia,4.9,spirit_servings,189
Mongolia,4.9,wine_servings,8
Montenegro,4.9,beer_servings,31
Montenegro,4.9,spirit_servings,114
Montenegro,4.9,wine_servings,128
Morocco,0.5,beer_servings,12
Morocco,0.5,spirit_servings,6
Morocco,0.5,wine_servings,10
Mozambique,1.3,beer_servings,47
Mozambique,1.3,spirit_servings,18
Mozambique,1.3,wine_servings,5
Myanmar,0.1,beer_servings,5
Myanmar,0.1,spirit_servings,1
Myanmar,0.1,wine_servings,0
Namibia,6.8,beer_servings,376
Namibia,6.8,spirit_servings,3
Namibia,6.8,wine_servings,1
Nauru,1,beer_servings,49
Nauru,1,spirit_servings,0
Nauru,1,wine_servings,8
Nepal,0.2,beer_servings,5
Nepal,0.2,spirit_servings,6
Nepal,0.2,wine_servings,0
Netherlands,9.4,beer_servings,251
Netherlands,9.4,spirit_servings,88
Netherlands,9.4,wine_servings,190
New Zealand,9.3,beer_servings,203
